No,Nama pemilik,Nama Toko,Produk,Nama akun pembeli,Profil gambar akun,Deteksi Akun,Review /Komentar,Rating bintang,Sentimen,Source,Data_Review,Month,YEAR,LINK,,,,,,,,,,,,,,,,,,,,
1,,,,,,,Daftar akun aja sulitnya minta ampun,,NEGATIF,BUKALAPAK,07/01/2020,January,2020,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,Aplikasi nya kurang jossss Pas verifikasi nomer hp lama muncul kodenya Buat emosi??????????????,,NEGATIF,BUKALAPAK,08/01/2020,January,2020,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,"Kenapa berat banget aplikasinya, kurang responsif ketika memilih item",,NEGATIF,BUKALAPAK,13/01/2020,January,2020,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,Aku gak ngerti kok uinstal terus sih,,NEGATIF,BUKALAPAK,19/01/2020,January,2020,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,Buruk sekali hari hari ini kok bermasalah mulu,,NEGATIF,BUKALAPAK,20/01/2020,January,2020,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,"males ga bisa masuk server eror ,beralih deh ke lazada ...",,NEGATIF,BUKALAPAK,24/01/2020,January,2020,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,Tolong kembalikan pilihan jasa kirim seperti dulu..,,NEGATIF,BUKALAPAK,27/01/2020,January,2020,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,Pas chekout sering gagal,,NEGATIF,BUKALAPAK,30/01/2020,January,2020,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,sudah di update tapi fitur fontnya tetep ga berubah,,NEGATIF,BUKALAPAK,31/01/2020,January,2020,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,"Bintang yang bicara....... Verikasi nomer tlp tak bisa,rugi data",,NEGATIF,BUKALAPAK,01/02/2020,February,2020,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,Belanja di sini bisa bayar di tempat kah ? Soal nya saya masih sekolah SMP gk pandai tranper uang,,NEGATIF,BUKALAPAK,03/02/2020,February,2020,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,"Saya ada masalah tapi cs tidak bisa menjawab pertanyaan saya terkait dengan masalah saya, pokoknya jelek banget cs nya",,NEGATIF,BUKALAPAK,03/02/2020,February,2020,,,,,,,,,,,,,,,,,,,,,
